,ID Comunidad,Comunidad
0,8744,Ceuta
1,8745,Melilla
2,4,Andalucía
3,5,Aragón
4,6,Cantabria
5,7,Castilla - La Mancha
6,8,Castilla y León
7,9,Cataluña
8,10,País Vasco
9,11,Principado de Asturias
10,13,Comunidad de Madrid
11,14,Comunidad Foral de Navarra
12,15,Comunitat Valenciana
13,16,Extremadura
14,17,Galicia
15,8743,Illes Balears
16,8742,Canarias
17,21,Región de Murcia
18,20,La Rioja
