,Provincias,Ramas de actividad,Año,Total
212,7,Valor añadido bruto total,2019,30777649
213,7,Impuestos netos sobre los productos,2021,2860857
214,7,Impuestos netos sobre los productos,2020,2292582
215,7,Impuestos netos sobre los productos,2019,3157653
237,8,Valor añadido bruto total,2021,157172903
238,8,Valor añadido bruto total,2020,146163042
239,8,Valor añadido bruto total,2019,162521314
240,8,Impuestos netos sobre los productos,2021,16548982
241,8,Impuestos netos sobre los productos,2020,14017302
242,8,Impuestos netos sobre los productos,2019,16673980
264,48,Valor añadido bruto total,2021,32070180
265,48,Valor añadido bruto total,2020,30047417
266,48,Valor añadido bruto total,2019,33346591
267,48,Impuestos netos sobre los productos,2021,3376720
268,48,Impuestos netos sobre los productos,2020,2881602
269,48,Impuestos netos sobre los productos,2019,3421215
291,9,Valor añadido bruto total,2021,9297731
292,9,Valor añadido bruto total,2020,8733472
293,9,Valor añadido bruto total,2019,9610498
294,9,Impuestos netos sobre los productos,2021,978973
295,9,Impuestos netos sobre los productos,2020,837556
296,9,Impuestos netos sobre los productos,2019,985995
318,10,Valor añadido bruto total,2021,7171434
319,10,Valor añadido bruto total,2020,6571744
320,10,Valor añadido bruto total,2019,7245047
321,10,Impuestos netos sobre los productos,2021,755092
322,10,Impuestos netos sobre los productos,2020,630242
323,10,Impuestos netos sobre los productos,2019,743310
345,11,Valor añadido bruto total,2021,20479431
346,11,Valor añadido bruto total,2020,18481324
347,11,Valor añadido bruto total,2019,20999441
348,11,Impuestos netos sobre los productos,2021,2156311
349,11,Impuestos netos sobre los productos,2020,1772393
350,11,Impuestos netos sobre los productos,2019,2154451
372,39,Valor añadido bruto total,2021,12686306
373,39,Valor añadido bruto total,2020,11727623
374,39,Valor añadido bruto total,2019,12861251
375,39,Impuestos netos sobre los productos,2021,1335761
376,39,Impuestos netos sobre los productos,2020,1124700
377,39,Impuestos netos sobre los productos,2019,1319508
399,12,Valor añadido bruto total,2021,14608854
400,12,Valor añadido bruto total,2020,12981657
401,12,Valor añadido bruto total,2019,14586073
402,12,Impuestos netos sobre los productos,2021,1538189
403,12,Impuestos netos sobre los productos,2020,1244964
404,12,Impuestos netos sobre los productos,2019,1496468
426,13,Valor añadido bruto total,2021,9800887
427,13,Valor añadido bruto total,2020,9121044
428,13,Valor añadido bruto total,2019,9767319
429,13,Impuestos netos sobre los productos,2021,1031951
430,13,Impuestos netos sobre los productos,2020,874725
431,13,Impuestos netos sobre los productos,2019,1002084
453,14,Valor añadido bruto total,2021,13223779
454,14,Valor añadido bruto total,2020,11869035
455,14,Valor añadido bruto total,2019,12807798
456,14,Impuestos netos sobre los productos,2021,1392352
457,14,Impuestos netos sobre los productos,2020,1138262
458,14,Impuestos netos sobre los productos,2019,1314024
480,15,Valor añadido bruto total,2021,24742760
481,15,Valor añadido bruto total,2020,23142090
482,15,Valor añadido bruto total,2019,25138922
