,ID Energía,ID Comunidad,Año,Mes,Valor,Porcentaje
110,0,5,2019,3,31154.675,0.04378884097008051
111,0,5,2019,4,25724.805,0.041981946607773185
112,0,5,2019,5,35460.804,0.03675379253459692
113,0,5,2019,6,34797.633,0.05323177592200816
114,0,5,2019,7,34472.594,0.0559162484148908
115,0,5,2019,8,32966.806,0.07215893380289529
116,0,5,2019,9,28060.968,0.05617713711553529
117,0,5,2019,10,22121.294,0.042857735673045155
118,0,5,2019,11,15347.695,0.018023807821174867
119,0,5,2019,12,28925.543,0.03006669103452168
120,5,5,2019,1,4876.483,0.005549436000312467
121,5,5,2019,2,5342.305,0.009388118397370348
122,5,5,2019,3,6201.478,0.00871636548676733
123,5,5,2019,4,5764.63,0.009407666603248014
124,5,5,2019,5,5861.644,0.00607537402388465
125,5,5,2019,6,5389.346,0.008244367041809164
126,5,5,2019,7,4911.831,0.007967232241587666
127,5,5,2019,8,3784.405,0.00828344213504778
128,5,5,2019,9,3701.729,0.007410739985789276
129,5,5,2019,10,4352.786,0.008433075923557253
130,5,5,2019,11,4260.904,0.005003859852601664
131,5,5,2019,12,3195.022,0.0033210695240016587
132,2,6,2019,1,18324.586,0.5222924662476366
133,2,6,2019,2,33896.027,0.6841095353028828
134,2,6,2019,3,20897.705,0.585801231287587
135,2,6,2019,4,18934.539,0.5382456817204587
136,2,6,2019,5,16525.627,0.5085280456423915
137,2,6,2019,6,12824.067,0.47592558906663907
138,2,6,2019,7,9794.195,0.44141460061720195
139,2,6,2019,8,5418.636,0.3025683462878585
140,2,6,2019,9,7280.188,0.33039705075602693
141,2,6,2019,10,14203.371,0.44099026445420536
142,2,6,2019,11,33469.68,0.6511028005926668
143,2,6,2019,12,38335.339,0.6964404577151154
144,3,6,2019,1,5866.649,0.16721286771877034
145,3,6,2019,2,7484.663,0.1510598668932108
146,3,6,2019,3,6076.595,0.1703381702936277
147,3,6,2019,4,7105.364,0.20198175884039243
148,3,6,2019,5,5754.385,0.17707444068076164
149,3,6,2019,6,4296.882,0.15946548758672566
150,3,6,2019,7,2413.11,0.1087564610358867
151,3,6,2019,8,2399.185,0.13396682078084518
152,3,6,2019,9,5213.13,0.23658767839618522
153,3,6,2019,10,8345.171,0.25910322036969713
154,3,6,2019,11,10825.523,0.21059443481922527
155,3,6,2019,12,7131.698,0.12956199551035597
156,0,6,2019,1,72.563,0.002068210885000472
157,0,6,2019,2,147.208,0.002971038360126004
158,0,6,2019,3,223.291,0.006259258743265664
159,0,6,2019,4,205.894,0.005852878509064949
160,0,6,2019,5,248.167,0.0076366167227988006
161,0,6,2019,6,229.48,0.00851644054721582
162,0,6,2019,7,243.172,0.010959519517559762
